gene_type	transcript_type	transcript_support_level	n_min10	n_min20	n_min30	n_min40	n_min50	n_transcript
protein_coding	protein_coding	1	3	3	6	10	22	30887
lncRNA	lncRNA	NA	0	0	1	1	3	21009
protein_coding	protein_coding	5	366	370	386	421	448	16830
protein_coding	protein_coding	2	1	1	2	2	7	13426
protein_coding	retained_intron	2	0	0	0	0	0	12832
protein_coding	protein_coding	3	0	0	0	0	0	9820
protein_coding	protein_coding	NA	2	2	3	4	5	7894
protein_coding	processed_transcript	3	0	0	0	0	1	7835
lncRNA	lncRNA	3	0	0	0	0	1	7045
lncRNA	lncRNA	5	11	14	14	16	16	6538
protein_coding	protein_coding	4	0	0	0	0	0	6213
protein_coding	processed_transcript	5	0	0	0	0	2	5502
protein_coding	retained_intron	3	0	0	0	0	0	5425
lncRNA	lncRNA	2	0	0	0	0	1	4592
protein_coding	processed_transcript	2	0	0	0	0	0	4588
protein_coding	nonsense_mediated_decay	NA	0	0	0	1	1	4545
protein_coding	nonsense_mediated_decay	5	0	0	0	1	4	4467
protein_coding	processed_transcript	4	0	0	0	0	1	4336
protein_coding	retained_intron	NA	0	0	0	0	1	3440
protein_coding	retained_intron	5	0	0	0	1	1	3048
protein_coding	nonsense_mediated_decay	2	0	0	0	0	1	3026
protein_coding	nonsense_mediated_decay	1	0	0	0	1	1	2804
protein_coding	retained_intron	1	0	0	0	0	0	2720
protein_coding	nonsense_mediated_decay	3	0	0	0	0	1	2606
lncRNA	lncRNA	1	0	0	0	0	0	2518
lncRNA	lncRNA	4	0	0	0	0	0	2470
protein_coding	retained_intron	4	0	0	0	0	0	2332
protein_coding	processed_transcript	NA	0	0	0	0	2	1790
protein_coding	processed_transcript	1	0	0	0	0	0	1661
protein_coding	nonsense_mediated_decay	4	0	0	0	0	0	1417
unprocessed_pseudogene	unprocessed_pseudogene	NA	2	6	13	17	23	1413
processed_pseudogene	processed_pseudogene	NA	3	12	21	37	46	1292
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	NA	1	1	3	4	6	708
transcribed_unprocessed_pseudogene	processed_transcript	1	0	0	0	0	0	417
transcribed_unprocessed_pseudogene	processed_transcript	2	0	0	0	0	0	369
transcribed_unprocessed_pseudogene	processed_transcript	5	0	0	1	1	1	358
transcribed_unprocessed_pseudogene	processed_transcript	3	0	0	0	0	0	327
transcribed_unprocessed_pseudogene	processed_transcript	NA	0	0	0	0	0	265
protein_coding	protein_coding	NA	0	0	0	1	2	186
transcribed_unprocessed_pseudogene	processed_transcript	4	0	0	0	0	0	164
lncRNA	retained_intron	2	0	0	0	0	0	154
IG_V_gene	IG_V_gene	NA	0	0	0	0	0	142
transcribed_unitary_pseudogene	processed_transcript	5	0	0	0	0	0	125
lncRNA	retained_intron	5	0	0	0	0	0	120
transcribed_unitary_pseudogene	processed_transcript	1	0	0	0	0	0	108
transcribed_processed_pseudogene	processed_transcript	5	0	0	0	0	0	107
TR_V_gene	TR_V_gene	NA	0	0	0	0	0	104
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	NA	0	0	0	1	1	101
IG_V_pseudogene	IG_V_pseudogene	NA	0	0	0	1	1	100
transcribed_processed_pseudogene	processed_transcript	3	0	0	0	0	0	89
transcribed_processed_pseudogene	processed_transcript	NA	0	0	0	0	0	89
transcribed_processed_pseudogene	processed_transcript	2	0	0	0	0	0	88
transcribed_unitary_pseudogene	processed_transcript	3	0	0	0	0	0	87
lncRNA	retained_intron	3	0	0	0	0	0	86
transcribed_unitary_pseudogene	processed_transcript	2	0	0	0	0	0	79
transcribed_unitary_pseudogene	processed_transcript	NA	0	0	0	0	0	75
transcribed_processed_pseudogene	processed_transcript	1	0	0	0	0	0	72
lncRNA	retained_intron	NA	0	0	0	0	0	67
transcribed_unprocessed_pseudogene	retained_intron	2	0	0	0	0	0	67
lncRNA	lncRNA	NA	0	0	0	0	0	64
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	NA	0	0	0	0	0	64
transcribed_processed_pseudogene	transcribed_processed_pseudogene	NA	0	0	0	0	0	56
transcribed_processed_pseudogene	processed_transcript	4	0	0	0	0	0	47
lncRNA	retained_intron	1	0	0	0	0	0	46
lncRNA	retained_intron	4	0	0	0	0	0	38
protein_coding	processed_transcript	NA	0	0	0	0	0	37
unitary_pseudogene	unitary_pseudogene	NA	0	0	0	0	0	36
protein_coding	retained_intron	NA	0	0	0	0	0	35
transcribed_unitary_pseudogene	processed_transcript	4	0	0	0	0	0	32
transcribed_unprocessed_pseudogene	retained_intron	1	0	0	0	0	0	31
protein_coding	non_stop_decay	1	0	0	0	0	0	30
polymorphic_pseudogene	polymorphic_pseudogene	1	0	0	0	0	0	26
transcribed_unitary_pseudogene	retained_intron	2	0	0	0	0	0	26
transcribed_unprocessed_pseudogene	processed_transcript	NA	0	0	0	0	0	26
transcribed_unprocessed_pseudogene	retained_intron	3	0	0	0	0	0	26
protein_coding	non_stop_decay	5	0	0	0	0	0	24
transcribed_unprocessed_pseudogene	retained_intron	5	0	0	0	0	0	24
TR_V_pseudogene	TR_V_pseudogene	NA	0	0	0	0	0	23
unprocessed_pseudogene	unprocessed_pseudogene	NA	0	0	0	0	0	22
protein_coding	non_stop_decay	2	0	0	0	0	0	19
pseudogene	pseudogene	NA	19	19	19	19	19	19
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	NA	0	0	0	0	0	19
protein_coding	non_stop_decay	3	0	0	0	0	0	16
transcribed_unprocessed_pseudogene	retained_intron	4	0	0	0	0	0	15
transcribed_unitary_pseudogene	retained_intron	1	0	0	0	0	0	14
transcribed_unitary_pseudogene	retained_intron	3	0	0	0	0	0	14
polymorphic_pseudogene	protein_coding	5	11	11	11	11	11	13
IG_C_gene	IG_C_gene	NA	0	0	0	0	0	12
transcribed_unitary_pseudogene	retained_intron	5	0	0	0	0	0	12
protein_coding	nonsense_mediated_decay	NA	0	0	0	0	0	11
protein_coding	non_stop_decay	NA	0	0	0	0	0	10
polymorphic_pseudogene	polymorphic_pseudogene	NA	0	0	0	0	0	9
transcribed_processed_pseudogene	retained_intron	5	0	0	0	0	0	8
transcribed_unitary_pseudogene	retained_intron	4	0	0	0	0	0	8
transcribed_unitary_pseudogene	retained_intron	NA	0	0	0	0	0	8
polymorphic_pseudogene	processed_transcript	4	0	0	0	0	0	7
unitary_pseudogene	unitary_pseudogene	NA	0	0	0	0	0	7
TR_C_gene	TR_C_gene	NA	0	0	0	0	0	6
IG_C_gene	IG_C_gene	NA	0	0	0	0	0	5
polymorphic_pseudogene	polymorphic_pseudogene	NA	0	0	0	0	0	5
polymorphic_pseudogene	processed_transcript	5	0	0	0	0	0	5
polymorphic_pseudogene	polymorphic_pseudogene	5	0	0	0	0	0	4
transcribed_processed_pseudogene	retained_intron	4	0	0	0	0	0	4
polymorphic_pseudogene	nonsense_mediated_decay	1	0	0	0	0	0	3
polymorphic_pseudogene	polymorphic_pseudogene	2	0	0	0	0	0	3
polymorphic_pseudogene	processed_transcript	2	0	0	0	0	0	3
polymorphic_pseudogene	processed_transcript	3	0	0	0	0	0	3
TEC	TEC	5	0	0	0	0	0	3
transcribed_processed_pseudogene	processed_transcript	NA	0	0	0	0	0	3
transcribed_unprocessed_pseudogene	retained_intron	NA	0	0	0	0	0	3
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	5	0	0	0	0	0	3
unitary_pseudogene	processed_transcript	1	0	0	0	0	0	3
unprocessed_pseudogene	processed_transcript	NA	0	0	0	0	0	3
IG_C_pseudogene	IG_C_pseudogene	NA	0	0	0	0	0	2
polymorphic_pseudogene	processed_transcript	1	0	0	0	0	0	2
polymorphic_pseudogene	protein_coding	1	0	0	0	0	0	2
polymorphic_pseudogene	protein_coding	2	0	0	0	0	0	2
polymorphic_pseudogene	retained_intron	1	0	0	0	0	0	2
polymorphic_pseudogene	retained_intron	2	0	0	0	0	0	2
polymorphic_pseudogene	retained_intron	4	0	0	0	0	0	2
processed_pseudogene	processed_pseudogene	NA	0	0	0	0	0	2
TEC	TEC	3	0	0	0	0	0	2
transcribed_processed_pseudogene	retained_intron	2	0	0	0	0	0	2
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	5	0	0	0	0	0	2
IG_C_gene	IG_C_gene	1	0	0	0	0	0	1
lncRNA	TEC	2	0	0	0	0	0	1
lncRNA	transcribed_unitary_pseudogene	NA	0	0	0	0	0	1
polymorphic_pseudogene	nonsense_mediated_decay	2	0	0	0	0	0	1
polymorphic_pseudogene	nonsense_mediated_decay	5	0	0	0	0	0	1
polymorphic_pseudogene	processed_transcript	NA	0	0	0	0	0	1
polymorphic_pseudogene	protein_coding	3	0	0	0	0	0	1
polymorphic_pseudogene	protein_coding	NA	1	1	1	1	1	1
polymorphic_pseudogene	retained_intron	3	0	0	0	0	0	1
polymorphic_pseudogene	retained_intron	5	0	0	0	0	0	1
polymorphic_pseudogene	retained_intron	NA	0	0	0	0	0	1
TEC	TEC	2	0	0	0	0	0	1
transcribed_processed_pseudogene	retained_intron	3	0	0	0	0	0	1
transcribed_processed_pseudogene	transcribed_processed_pseudogene	NA	0	0	0	0	0	1
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	1	0	0	0	0	0	1
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	1	0	0	0	0	0	1
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	2	0	0	0	0	0	1
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	3	0	0	0	0	0	1
translated_unprocessed_pseudogene	translated_unprocessed_pseudogene	NA	0	0	0	0	0	1
unitary_pseudogene	processed_transcript	5	0	0	0	0	0	1
unitary_pseudogene	transcribed_unitary_pseudogene	NA	0	0	0	0	0	1
unprocessed_pseudogene	processed_transcript	3	0	0	0	0	0	1
unprocessed_pseudogene	unprocessed_pseudogene	5	0	0	0	0	0	1
