gene_type	exon_num_min	exon_num_q1	exon_num_median	exon_num_q3	exon_num_max	n_transcript
protein_coding	1	3	5	10	363	162059
lncRNA	1	2	3	5	59	47675
processed_pseudogene	1	1	1	1	11	10167
transcribed_unprocessed_pseudogene	1	3	4	6	79	3103
unprocessed_pseudogene	1	1	2	4	32	2620
misc_RNA	1	1	1	1	1	2221
snRNA	1	1	1	1	1	1910
miRNA	1	1	1	1	1	1879
transcribed_processed_pseudogene	1	1	1	3	24	1140
TEC	1	1	1	1	3	1077
snoRNA	1	1	1	1	1	943
transcribed_unitary_pseudogene	1	3	4	7	103	742
rRNA_pseudogene	1	1	1	1	1	497
IG_V_pseudogene	1	1	2	2	2	187
IG_V_gene	1	2	2	2	3	145
polymorphic_pseudogene	1	2	4	7	43	124
TR_V_gene	1	2	2	2	3	106
unitary_pseudogene	1	1	1	5	29	103
ERCC	1	1	1	1	1	92
TR_J_gene	1	1	1	1	1	79
rRNA	1	1	1	1	1	53
scaRNA	1	1	1	1	1	49
IG_D_gene	1	1	1	1	1	37
TR_V_pseudogene	1	1	2	2	3	33
IG_C_gene	1	3	4	6	9	23
Mt_tRNA	1	1	1	1	1	22
pseudogene	2	2	2	2	3	19
IG_J_gene	1	1	1	1	1	18
IG_C_pseudogene	1	1	1	1	6	9
ribozyme	1	1	1	1	1	8
TR_C_gene	3	4	4	4	4	6
sRNA	1	1	1	1	1	5
TR_D_gene	1	1	1	1	1	4
TR_J_pseudogene	1	1	1	1	1	4
IG_J_pseudogene	1	1	1	1	1	3
translated_processed_pseudogene	1	1	1	1	1	3
Mt_rRNA	1	1	1	1	1	2
IG_pseudogene	1	1	1	1	1	1
scRNA	1	1	1	1	1	1
translated_unprocessed_pseudogene	7	7	7	7	7	1
vault_RNA	1	1	1	1	1	1
