gene_type	transcript_type	exon_num_min	exon_num_q1	exon_num_median	exon_num_q3	exon_num_max	n_transcript
protein_coding	protein_coding	1	4	6	12	363	86775
lncRNA	lncRNA	1	2	3	5	59	47055
protein_coding	retained_intron	1	2	3	5	83	30400
protein_coding	processed_transcript	1	3	4	5	173	25860
protein_coding	nonsense_mediated_decay	2	5	8	13	79	18876
processed_pseudogene	processed_pseudogene	1	1	1	1	11	10167
unprocessed_pseudogene	unprocessed_pseudogene	1	1	2	4	32	2615
misc_RNA	misc_RNA	1	1	1	1	1	2221
transcribed_unprocessed_pseudogene	processed_transcript	1	3	4	6	32	1975
snRNA	snRNA	1	1	1	1	1	1910
miRNA	miRNA	1	1	1	1	1	1879
TEC	TEC	1	1	1	1	3	1077
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	1	2	4	8	79	950
snoRNA	snoRNA	1	1	1	1	1	943
transcribed_processed_pseudogene	processed_transcript	1	2	3	4	24	619
lncRNA	retained_intron	1	2	3	4	41	602
transcribed_unitary_pseudogene	processed_transcript	1	3	4	6	28	513
transcribed_processed_pseudogene	transcribed_processed_pseudogene	1	1	1	1	22	502
rRNA_pseudogene	rRNA_pseudogene	1	1	1	1	1	497
IG_V_pseudogene	IG_V_pseudogene	1	1	2	2	2	187
transcribed_unprocessed_pseudogene	retained_intron	1	2	3	5	16	176
IG_V_gene	IG_V_gene	1	2	2	2	3	145
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	1	3	6	10	103	143
TR_V_gene	TR_V_gene	1	2	2	2	3	106
protein_coding	non_stop_decay	2	3	5	10	28	99
unitary_pseudogene	unitary_pseudogene	1	1	1	4	16	97
ERCC	NA	1	1	1	1	1	92
transcribed_unitary_pseudogene	retained_intron	1	2	3	8.75	22	86
TR_J_gene	TR_J_gene	1	1	1	1	1	79
polymorphic_pseudogene	polymorphic_pseudogene	1	1	3	6	43	70
rRNA	rRNA	1	1	1	1	1	53
protein_coding	TEC	1	1	1	1	1	49
scaRNA	scaRNA	1	1	1	1	1	49
IG_D_gene	IG_D_gene	1	1	1	1	1	37
TR_V_pseudogene	TR_V_pseudogene	1	1	2	2	3	33
IG_C_gene	IG_C_gene	1	3	4	6	9	23
Mt_tRNA	Mt_tRNA	1	1	1	1	1	22
polymorphic_pseudogene	processed_transcript	2	2	4	5	11	21
polymorphic_pseudogene	protein_coding	3	5	8	11.5	31	19
pseudogene	pseudogene	2	2	2	2	3	19
IG_J_gene	IG_J_gene	1	1	1	1	1	18
lncRNA	TEC	1	1	1	1	2	17
transcribed_processed_pseudogene	retained_intron	1	2	2	3	4	17
IG_C_pseudogene	IG_C_pseudogene	1	1	1	1	6	9
polymorphic_pseudogene	retained_intron	2	2	3	6	25	9
ribozyme	ribozyme	1	1	1	1	1	8
TR_C_gene	TR_C_gene	3	4	4	4	4	6
polymorphic_pseudogene	nonsense_mediated_decay	5	7	8	27	28	5
sRNA	sRNA	1	1	1	1	1	5
unitary_pseudogene	processed_transcript	1	6	7	9	22	5
unprocessed_pseudogene	processed_transcript	1	3	7	7	21	5
TR_D_gene	TR_D_gene	1	1	1	1	1	4
TR_J_pseudogene	TR_J_pseudogene	1	1	1	1	1	4
IG_J_pseudogene	IG_J_pseudogene	1	1	1	1	1	3
Mt_rRNA	Mt_rRNA	1	1	1	1	1	2
transcribed_processed_pseudogene	TEC	1	1	1	1	1	2
transcribed_unprocessed_pseudogene	TEC	1	1	1	1	1	2
translated_processed_pseudogene	translated_processed_pseudogene	1	1	1	1	1	2
IG_pseudogene	IG_pseudogene	1	1	1	1	1	1
lncRNA	transcribed_unitary_pseudogene	4	4	4	4	4	1
scRNA	scRNA	1	1	1	1	1	1
translated_processed_pseudogene	processed_transcript	1	1	1	1	1	1
translated_unprocessed_pseudogene	translated_unprocessed_pseudogene	7	7	7	7	7	1
unitary_pseudogene	transcribed_unitary_pseudogene	29	29	29	29	29	1
vault_RNA	vault_RNA	1	1	1	1	1	1
