gene_type	transcript_type	intron_len_min	intron_len_q1	intron_len_median	intron_len_q3	intron_len_max	n_transcript
protein_coding	protein_coding	1	557	1678	4670	1240120	85256
lncRNA	lncRNA	1	942	3198	13428	1014243	44236
protein_coding	retained_intron	32	297	1019	2825	602064	29832
protein_coding	processed_transcript	41	596	1862	5865	1136472	25749
protein_coding	nonsense_mediated_decay	36	526	1588	4239.5	956396	18876
transcribed_unprocessed_pseudogene	processed_transcript	30	581.5	1649	4166.75	295538	1926
unprocessed_pseudogene	unprocessed_pseudogene	4	317	825	2124	77291	1436
processed_pseudogene	processed_pseudogene	6	293	323	493	10230	1294
transcribed_unprocessed_pseudogene	transcribed_unprocessed_pseudogene	9	385	1088	2691	206916	778
lncRNA	retained_intron	74	269.75	850	2711	132663	511
transcribed_unitary_pseudogene	processed_transcript	72	631.25	1880	4912	232122	506
transcribed_processed_pseudogene	processed_transcript	80	1161	4905	20870	400719	495
transcribed_unprocessed_pseudogene	retained_intron	62	295	1017	2534	54361	166
IG_V_gene	IG_V_gene	82	96	116	131.5	479	142
transcribed_unitary_pseudogene	transcribed_unitary_pseudogene	39	361.75	1169	3089.75	331079	123
TR_V_gene	TR_V_gene	86	111	132	188	459	104
IG_V_pseudogene	IG_V_pseudogene	39	94	109	132	428	100
protein_coding	non_stop_decay	73	519	1580	5016	158658	99
transcribed_unitary_pseudogene	retained_intron	67	136.5	477	1399.5	25230	82
transcribed_processed_pseudogene	transcribed_processed_pseudogene	77	321.5	773.5	1960.5	23724	57
polymorphic_pseudogene	polymorphic_pseudogene	70	638	1658	3310	82512	47
unitary_pseudogene	unitary_pseudogene	82	511	1474	3498.25	36942	43
TR_V_pseudogene	TR_V_pseudogene	99	115.5	133	199.25	1073	23
polymorphic_pseudogene	processed_transcript	161	1119	1828.5	3578	64143	21
polymorphic_pseudogene	protein_coding	1	433	1050	2925	82512	19
pseudogene	pseudogene	1	2	3	4	5	19
IG_C_gene	IG_C_gene	83	118	212	392	2792	18
transcribed_processed_pseudogene	retained_intron	142	512	1197	2349.25	11649	15
polymorphic_pseudogene	retained_intron	88	529	1661	2918	7277	9
TEC	TEC	256	781	1240.5	1853.5	5809	6
TR_C_gene	TR_C_gene	143	364	874	1940	4012	6
polymorphic_pseudogene	nonsense_mediated_decay	98	385.5	773	3063	16659	5
unitary_pseudogene	processed_transcript	92	124.25	238	864	5262	4
unprocessed_pseudogene	processed_transcript	94	431	848	4777.75	18931	4
IG_C_pseudogene	IG_C_pseudogene	83	103.5	262	1064.75	2126	2
lncRNA	TEC	571	571	571	571	571	1
lncRNA	transcribed_unitary_pseudogene	83	149.5	216	358.5	501	1
translated_unprocessed_pseudogene	translated_unprocessed_pseudogene	132	441.5	1580.5	2889	7728	1
unitary_pseudogene	transcribed_unitary_pseudogene	89	138	208	413.5	4580	1
