gene_type	exon_num_min	exon_num_q1	exon_num_median	exon_num_q3	exon_num_max	n_transcript
protein_coding	1	3	5	9	347	102097
lncRNA	1	2	3	4	42	15549
processed_pseudogene	1	1	1	1	6	10000
TEC	1	1	1	1	5	3289
unprocessed_pseudogene	1	1	1	3	27	2721
miRNA	1	1	1	1	1	2206
snoRNA	1	1	1	1	1	1507
snRNA	1	1	1	1	1	1381
transcribed_unprocessed_pseudogene	1	2	3	5	33	785
transcribed_processed_pseudogene	1	1	1	2	11	616
misc_RNA	1	1	1	1	1	562
rRNA	1	1	1	1	1	354
IG_V_gene	1	2	2	2	2	306
TR_V_gene	1	2	2	2	2	194
polymorphic_pseudogene	1	2	3	6	37	184
IG_V_pseudogene	1	1	2	2	3	158
ERCC	1	1	1	1	1	92
transcribed_unitary_pseudogene	1	3	4	7	46	92
TR_J_gene	1	1	1	1	1	76
pseudogene	1	2	2	3	5	63
unitary_pseudogene	1	2	4	5	22	61
scaRNA	1	1	1	1	1	51
TR_V_pseudogene	1	1	1	2	2	34
IG_C_gene	1	2.25	4	5.75	6	22
Mt_tRNA	1	1	1	1	1	22
ribozyme	1	1	1	1	1	22
IG_D_gene	1	1	1	1	1	20
IG_J_gene	1	1	1	1	1	18
TR_C_gene	3	3	3	4	4	11
TR_J_pseudogene	1	1	1	1	1	10
TR_D_gene	1	1	1	1	1	5
IG_D_pseudogene	1	1	1	1	1	4
IG_LV_gene	1	1	1.5	2	2	4
translated_unprocessed_pseudogene	1	2	3	3	3	3
Mt_rRNA	1	1	1	1	1	2
sRNA	1	1	1	1	1	2
IG_C_pseudogene	3	3	3	3	3	1
IG_pseudogene	2	2	2	2	2	1
scRNA	1	1	1	1	1	1
