gene_type	intron_len_min	intron_len_q1	intron_len_median	intron_len_q3	intron_len_max	n_transcript
protein_coding	1	450	1357	3529	4384418	97113
lncRNA	1	609	1872	6736	393220	14225
unprocessed_pseudogene	7	401	875	2390.5	93534	1290
processed_pseudogene	5	192	386	814	55205	956
transcribed_unprocessed_pseudogene	16	548	1320	3147	305431	675
IG_V_gene	76	83	110	178	406	259
transcribed_processed_pseudogene	38	647	1878	7085.5	181732	248
TR_V_gene	84	121.75	158	189	1408	176
polymorphic_pseudogene	1	220	810.5	1984	179718	141
IG_V_pseudogene	76	83	121	130	485	112
transcribed_unitary_pseudogene	53	587	1479	3194	105673	86
TEC	1	436.5	1864	6271.5	113681	66
pseudogene	1	2	2	4	3249	62
unitary_pseudogene	62	411.25	1116.5	2753.25	24180	53
IG_C_gene	82	111	229	542	6350	17
TR_V_pseudogene	113	127	160	181	272	13
TR_C_gene	97	513	587	1324	4648	11
IG_LV_gene	109	137	165	193	221	2
translated_unprocessed_pseudogene	356	581.75	2357.5	5443.5	9600	2
IG_C_pseudogene	768	822	876	930	984	1
IG_pseudogene	85	85	85	85	85	1
